act_id,act_name,section_name,act_name_std,section_name_std,act_issue_flag,old_act_id
57,Indian Penal Code,450,I.P.C.,450,0,NA
58,Indian Penal Code,376(2)(d),I.P.C.,376(2)(d),0,NA
59,Protection of Children from Sexual Offence Act 2012,3,POCSO Act,3,0,NA
60,Protection of Children from Sexual Offence Act 2012,10,POCSO Act,10,0,NA
61,Indian Penal Code,419,I.P.C.,419,0,NA
62,Information Technology Act,67,Information Technology Act,67,0,NA
63,Indian Penal Code,366,I.P.C.,366,0,NA
64,Indian Penal Code,376-A,I.P.C.,376 A,0,NA
65,Indian Penal Code,376-D,I.P.C.,376 D,0,NA
67,"Code of Criminal Procedure, 1973",366A376D,I.P.C.,366 A/376 D,0,NA
68,Indian Penal Code,354(A)(1),I.P.C.,354 A(1),0,NA
69,Indian Penal Code,366-A,I.P.C.,366 A,0,NA
70,Indian Penal Code,120-B,I.P.C.,120 B,0,NA
71,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(2)(va),"SC/ST Amendment Act, 2015",3(2)(va),0,NA
72,Indian Penal Code,238,I.P.C.,238,0,NA
73,Indian Penal Code,324,I.P.C.,324,0,NA
74,Indian Penal Code,216,I.P.C.,216,0,NA
75,Indian Penal Code,509,I.P.C.,509,0,NA
78,Indian Penal Code,379A,I.P.C.,379 A,0,NA
79,Indian Penal Code,354(B),I.P.C.,354 B,0,NA
80,Indian Penal Code,354(D),I.P.C.,354 D,0,NA
81,Protection of Children from Sexual Offence Act 2012,14(4),POCSO Act,14(4),0,NA
82,Prohibition of Child Marriage Act,9,PCMA,9,0,NA
83,Prohibition of Child Marriage Act,10,PCMA,10,0,NA
84,Prohibition of Child Marriage Act,11,PCMA,11,0,NA
85,"Code of Criminal Procedure, 1973",468A,I.P.C.,468 A,0,NA
86,Scheduled Castes and Scheduled Tribes Orders (Amendment)  Act,---,SC/ST Act,---,1,NA
89,Indian Penal Code,376(2)(D),I.P.C.,376(2)(d),0,NA
90,Information Technology Act,67A,Information Technology Act,67 A,0,NA
95,Indian Penal Code,376(2)N,I.P.C.,376(2)(n),0,NA
96,Indian Penal Code,376(3),I.P.C.,376(3),0,NA
97,Indian Penal Code,366A365,I.P.C.,366 A/365,0,NA
98,Indian Penal Code,376AB,I.P.C.,376 AB,0,NA
99,Indian Penal Code,498A,I.P.C.,498 A,0,NA
100,"Code of Criminal Procedure, 1973",376F,I.P.C.,376F,0,NA
101,"Code of Criminal Procedure, 1973",323,I.P.C.,323,0,NA
103,Indian Penal Code,313,I.P.C.,313,0,NA
105,Protection of Children from Sexual Offence Act 2012,3(2)(v),POCSO Act,3(2)(v),1,NA
106,Indian Penal Code,336,I.P.C.,336,0,NA
107,Indian Penal Code,323.354-B,I.P.C.,323/354 B,0,NA
108,Indian Penal Code,506IPC,I.P.C.,506,0,NA
109,Indian Penal Code,34354,I.P.C.,34/354,0,NA
110,Indian Penal Code,354A(1),I.P.C.,354 A(1),0,NA
111,Indian Penal Code,344,I.P.C.,344,0,NA
112,Indian Penal Code,368,I.P.C.,368,0,NA
113,Indian Penal Code,376DA,I.P.C.,376 DA,0,NA
116,Indian Penal Code,354-D,I.P.C.,354 D,0,NA
117,Indian Penal Code,376(2)(n),I.P.C.,376(2)(n),0,NA
118,Protection of Children from Sexual Offence Act 2012,5,POCSO Act,5,0,NA
122,Protection of Children from Sexual Offence Act 2012,3(2)(V),POCSO Act,3(2)(V),1,NA
123,Protection of Children from Sexual Offence Act 2012,3(1)(W),POCSO Act,3(1)(W),1,NA
124,Indian Penal Code,494,I.P.C.,494,0,NA
125,Indian Penal Code,454,I.P.C.,454,0,NA
126,Indian Penal Code,366(A),I.P.C.,366 A,0,NA
127,Indian Penal Code,354-A(1),I.P.C.,354 A(1),0,NA
128,Indian Penal Code,212,I.P.C.,212,0,NA
130,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3 SC,SC/ST Act,3,1,NA
132,"Protection of Children from Sexual Offences Act, 2012.",4,POCSO Act,4,0,NA
133,"Protection of Children from Sexual Offences Act, 2012.",12,POCSO Act,12,0,NA
134,I.P.C(Police),506,I.P.C.,506,0,NA
135,I.P.C(Police),34,I.P.C.,34,0,NA
136,"Protection of Children from Sexual Offences Act, 2012.",6,POCSO Act,6,0,NA
137,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(1),SC/ST Act,3(1),1,NA
139,"Protection of Children from Sexual Offences Act, 2012.",3,POCSO Act,3,0,NA
140,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(1)XII,"SC/ST Act, 1989",3(1)(xii),0,NA
141,"Protection of Children from Sexual Offences Act, 2012.",8,POCSO Act,8,0,NA
144,Indian Penal Code,457IPC,I.P.C.,457,0,NA
145,"Protection of Children from Sexual Offences Act, 2012.",4POCSOACT,POCSO Act,4,0,NA
146,"Protection of Children from Sexual Offences Act, 2012.",11,POCSO Act,11,0,NA
147,I.P.C(Police),363,I.P.C.,363,0,NA
148,I.P.C(Police),366A,I.P.C.,366A,0,NA
149,Indian Penal Code,376IPC,I.P.C.,376,0,NA
150,I.P.C(Police),452,I.P.C.,452,0,NA
151,Indian Penal Code,148,I.P.C.,148,0,NA
152,Indian Penal Code,149,I.P.C.,149,0,NA
153,Indian Penal Code,447,I.P.C.,447,0,NA
154,Indian Penal Code,427,I.P.C.,427,0,NA
155,"Protection of Children from Sexual Offences Act, 2012.",4OFPOCSOACT,POCSO Act,4,0,NA
157,I.P.C(Police),323,I.P.C.,323,0,NA
158,I.P.C(Police),342,I.P.C.,342,0,NA
160,Indian Penal Code,354-DIPC,I.P.C.,354 D,0,NA
161,"Protection of Children from Sexual Offences Act, 2012.",12POCSOACT,POCSO Act,12,0,NA
162,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(1)(XII),"SC/ST Act, 1989",3(1)(xii),0,NA
163,Indian Penal Code,467,I.P.C.,467,0,NA
164,Indian Penal Code,468,I.P.C.,468,0,NA
165,Indian Penal Code,471,I.P.C.,471,0,NA
166,"Protection of Children from Sexual Offences Act, 2012.",18,POCSO Act,18,0,NA
168,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(1)(11),"SC/ST Act, 1989",3(1)(xi),0,NA
169,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(1)(12),"SC/ST Act, 1989",3(1)(xii),0,NA
170,Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act,3,SC/ST Act,3,1,NA
171,Indian Penal Code,354-A,I.P.C.,354 A,0,NA
172,Indian Penal Code,336A,I.P.C.,336 A,0,NA
173,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(2)5,"SC/ST Act, 1989",3(2)(v),0,NA
175,I.P.C(Police),354,I.P.C.,354,0,NA
176,Indian Penal Code,323,I.P.C.,323,0,NA
177,Indian Penal Code,506,I.P.C.,506,0,NA
178,"Protection of Children from Sexual Offences Act, 2012.",10,POCSO Act,10,0,NA
179,"Protection of Children from Sexual Offences Act, 2012.",9(M),POCSO Act,9(m),0,NA
180,Juvenile Justice (Care and Protection of Children) Act,23,"JJ Act, 2000",23,0,NA
181,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(1)(R),"SC/ST Amendment Act, 2015",3(1)(r),0,NA
183,Indian Penal Code,120-BIPC,I.P.C.,120 B,0,NA
184,Scheduled Castes and Scheduled Tribes Orders (Amendment)  Act,SC,SC/ST Act,SC,1,NA
185,Scheduled Castes and Scheduled Tribes Orders (Amendment)  Act,STACT,SC/ST Act,STACT,1,NA
186,Indian Penal Code,354IPC,I.P.C.,354,0,NA
187,Indian Penal Code,354AIPC,I.P.C.,354 A,0,NA
188,"Protection of Children from Sexual Offences Act, 2012.",8OFPOCSOACT,POCSO Act,8,0,NA
193,"Protection of Children from Sexual Offences Act, 2012.",12OFPOCSOACT,POCSO Act,12,0,NA
194,Indian Penal Code,506 IPC,I.P.C.,506,0,NA
195,"Protection of Children from Sexual Offences Act, 2012.",3-1 (xii),POCSO Act,3-1 (xii),1,NA
196,"Protection of Children from Sexual Offences Act, 2012.",4POCSO,POCSO Act,4,0,NA
197,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3.1(12),"SC/ST Act, 1989",3(1)(xii),0,NA
198,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,2(5),SC/ST Act,2(5),1,NA
199,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,SC/STACT1989,SC/ST Act,SC/STACT1989,1,NA
200,Indian Penal Code,34IPC,I.P.C.,34,0,NA
201,Indian Penal Code,354-B,I.P.C.,354 B,0,NA
203,I.P.C(Police),365,I.P.C.,365,0,NA
204,I.P.C(Police),120B,I.P.C.,120 B,0,NA
208,Indian Penal Code,323IPC,I.P.C.,323,0,NA
209,"Protection of Children from Sexual Offences Act, 2012.",SC,POCSO Act,SC,1,NA
210,"Protection of Children from Sexual Offences Act, 2012.",STACT,POCSO Act,STACT,1,NA
211,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,5,SC/ST Act,5,1,NA
212,Indian Penal Code,364,I.P.C.,364,0,NA
213,Indian Penal Code,120-b,I.P.C.,120 B,0,NA
214,Indian Penal Code,307IPC,I.P.C.,307,0,NA
215,"Protection of Children from Sexual Offences Act, 2012.",5,POCSO Act,5,0,NA
216,"Protection of Children from Sexual Offences Act, 2012.",6OFPOCSOACT,POCSO Act,6,0,NA
217,Indian Penal Code,345,I.P.C.,345,0,NA
222,"Protection of Children from Sexual Offences Act, 2012.",341IPC,I.P.C.,341,0,NA
223,"Protection of Children from Sexual Offences Act, 2012.",12POCSO,POCSO Act,12,0,NA
224,"Protection of Children from Sexual Offences Act, 2012.",ACT,POCSO Act,ACT,1,NA
225,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(2)(5),"SC/ST Act, 1989",3(2)(v),0,NA
227,Indian Penal Code,366,I.P.C.,366,0,NA
228,Indian Penal Code,328,I.P.C.,328,0,NA
229,Indian Penal Code,120B,I.P.C.,120 B,0,NA
230,"Protection of Children from Sexual Offences Act, 2012.",u,POCSO Act,u,1,NA
231,"Protection of Children from Sexual Offences Act, 2012.",s 4,POCSO Act,4,0,NA
232,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,u,SC/ST Act,u,1,NA
233,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,s 3,SC/ST Act,3,1,NA
234,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(I)(XI),"SC/ST Act, 1989",3(1)(xi),0,NA
235,"Protection of Children from Sexual Offences Act, 2012.",12POCOSACT,POCSO Act,12,0,NA
239,"Protection of Children from Sexual Offences Act, 2012.",5M,POCSO Act,5(m),0,NA
240,Indian Penal Code,SC/STACT3(1),SC/ST Act,3(1),1,NA
241,Indian Penal Code,363-A,I.P.C.,363 A,0,NA
242,"Protection of Children from Sexual Offences Act, 2012.",17,POCSO Act,17,0,NA
243,Protection of children from Sexual Offence,4,POCSO Act,4,0,NA
244,Protection of children from Sexual Offence,8,POCSO Act,8,0,NA
245,Indian Penal Code,370,I.P.C.,370,0,NA
246,Indian Penal Code,372,I.P.C.,372,0,NA
247,Indian Penal Code,373,I.P.C.,373,0,NA
248,Protection of children from Sexual Offence,10,POCSO Act,10,0,NA
249,Protection of children from Sexual Offence,6,POCSO Act,6,0,NA
250,Scheduled Castes and Scheduled Tribes Orders (Amendment) Act,3.33.89,SC/ST Act,3,1,NA
251,Protection of Children from Sexual Offence,8,POCSO Act,8,0,NA
252,Protection of Children from Sexual Offence,4,POCSO Act,4,0,NA
253,Protection of children from Sexual Offence,12,POCSO Act,12,0,NA
254,Indian Penal Code,302,I.P.C.,302,0,NA
255,Indian Penal Code,363A,I.P.C.,363,0,NA
256,Indian Penal Code,420,I.P.C.,420,0,NA
257,Protection of Children from Sexual Offence,6,POCSO Act,6,0,NA
259,Indian Penal Code,367,I.P.C.,367,0,NA
260,Protection of Children from Sexual Offence,11,POCSO Act,11,0,NA
261,Protection of Children from Sexual Offence,12,POCSO Act,12,0,NA
262,Indian Penal Code,326,I.P.C.,326,0,NA
264,Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act,33,SC/ST Act,33,1,NA
265,Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act,89,SC/ST Act,89,1,NA
266,Indian Penal Code,379,I.P.C.,379,0,NA
267,Protection of children from Sexual Offence,11,POCSO Act,11,0,NA
268,Arms Act,25,Arms Act,25,0,NA
269,Arms Act,54,Arms Act,54,1,NA
270,Arms Act,59,Arms Act,59,1,NA
271,Indian Penal Code,346,I.P.C.,346,0,NA
272,Protection of Children from Sexual Offence,10,POCSO Act,10,0,NA
274,Protection of children from Sexual Offence,16,POCSO Act,16,0,NA
277,Scheduled Castes and Scheduled Tribes Orders (Amendment) Act,3,SC/ST Act,3,1,NA
278,Scheduled Castes and Scheduled Tribes Orders (Amendment) Act,33,SC/ST Act,33,1,NA
279,Scheduled Castes and Scheduled Tribes Orders (Amendment) Act,89,SC/ST Act,89,1,NA
280,Indian Penal Code,354A(2)iii,I.P.C.,354 A(2),0,NA
281,Protection of children from Sexual Offence,7,POCSO Act,7,0,NA
282,Indian Penal Code,120,I.P.C.,120,0,NA
286,Indian Penal Code,345A,I.P.C.,354 A,0,NA
287,Indian Penal Code,345D,I.P.C.,354 D,0,NA
288,Indian Penal Code,211,I.P.C.,211,0,NA
290,"Code of Criminal Procedure, 1973",342,I.P.C.,342,0,NA
291,"Code of Criminal Procedure, 1973",376D,I.P.C.,376D,0,NA
292,Indian Penal Code,380,I.P.C.,380,0,NA
293,Indian Penal Code,4,POCSO Act,4,0,NA
294,Immoral Traffic (Prevention) Act,67,Information Technology Act,67,0,NA
296,Indian Penal Code,307,I.P.C.,307,0,NA
298,Indian Penal Code,376A,I.P.C.,376 A,0,NA
302,Protection of children from Sexual Offence,17,POCSO Act,17,0,NA
303,Indian Penal Code,193,I.P.C.,193,0,NA
304,Indian Penal Code,195,I.P.C.,195,0,NA
307,Indian Penal Code,376(D),I.P.C.,376 D,0,NA
308,Protection of Children from Sexual Offence,3,POCSO Act,3,0,NA
310,Indian Penal Code,363.376D,I.P.C.,363/376 D,0,NA
311,Protection of Children from Sexual Offence,17,POCSO Act,17,0,NA
314,Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act,3(2).33.89,SC/ST Act,3(2),1,NA
317,Indian Penal Code,354A(2),I.P.C.,354 A(2),0,NA
320,Indian Penal Code,366a,I.P.C.,366 A,0,NA
321,Motor Vehicles Act,192,Motor Vehicles Act,192,0,NA
322,Motor Vehicles Act,181,Motor Vehicles Act,181,0,NA
324,Indian Penal Code,45,I.P.C.,45,0,NA
325,Indian Penal Code,174A,I.P.C.,174 A,0,NA
327,Protection of Children from Sexual Offence,15,POCSO Act,15,0,NA
328,I.P.C(Police),376D,I.P.C.,376 D,0,NA
329,"Protection of Children from Sexual Offences Act, 2012",6,POCSO Act,6,0,NA
330,"Protection of Children from Sexual Offences Act, 2012",8,POCSO Act,8,0,NA
331,I.P.C(Police),376(2),I.P.C.,376(2),0,NA
332,"Protection of Children from Sexual Offences Act, 2012",4,POCSO Act,4,0,NA
333,I.P.C(Police),376,I.P.C.,376,0,NA
335,I.P.C(Police),346,I.P.C.,346,0,NA
336,I.P.C(Police),366,I.P.C.,366,0,NA
337,I.P.C(Police),190,I.P.C.,190,0,NA
338,I.P.C(Police),354B,I.P.C.,354 B,0,NA
339,I.P.C(Police),377,I.P.C.,377,0,NA
340,I.P.C(Police),511,I.P.C.,511,0,NA
341,I.P.C(Police),294,I.P.C.,294,0,NA
342,"Protection of Children from Sexual Offences Act, 2012",10,POCSO Act,10,0,NA
344,"Protection of Children from Sexual Offences Act, 2012",12,POCSO Act,12,0,NA
345,I.P.C(Police),328,I.P.C.,328,0,NA
346,I.P.C(Police),341,I.P.C.,341,0,NA
347,I.P.C(Police),354D,I.P.C.,354 D,0,NA
348,I.P.C(Police),506/34,I.P.C.,506/34,0,NA
349,I.P.C(Police),354A,I.P.C.,354 A,0,NA
350,Indian Penal Code,376B,I.P.C.,376 B,0,NA
351,Indian Penal Code,376(2),I.P.C.,376(2),0,NA
353,"Protection of Children from Sexual Offences Act, 2012",3,POCSO Act,3,0,NA
354,I.P.C(Police),325,I.P.C.,325,0,NA
355,I.P.C(Police),324,I.P.C.,324,0,NA
356,I.P.C(Police),451,I.P.C.,451,0,NA
357,I.P.C(Police),363/366A,I.P.C.,363/366 A,0,NA
358,I.P.C(Police),302,I.P.C.,302,0,NA
359,I.P.C(Police),376A,I.P.C.,376 A,0,NA
360,I.P.C(Police),148,I.P.C.,148,0,NA
361,I.P.C(Police),149,I.P.C.,149,0,NA
362,I.P.C(Police),368,I.P.C.,368,0,NA
363,I.P.C(Police),120,I.P.C.,120,0,NA
364,I.P.C(Police),354-A,I.P.C.,354 A,0,NA
365,I.P.C(Police),379,I.P.C.,379,0,NA
366,I.P.C(Police),120-B,I.P.C.,120 B,0,NA
367,"Protection of Children from Sexual Offences Act, 2012",---,POCSO Act,---,1,NA
368,"Protection of Children from Sexual Offences Act, 2012",18,POCSO Act,18,0,NA
369,"Protection of Children from Sexual Offences Act, 2012",21,POCSO Act,21,0,NA
370,I.P.C(Police),376(3),I.P.C.,376(3),0,NA
371,Information Technology Act,67(A),Information Technology Act,67 A,0,NA
375,Juvenile Justice (Care and Protection of Children) Act,75,"JJ Act, 2015",75,0,NA
377,I.P.C(Police),384,I.P.C.,384,0,NA
378,I.P.C(Police),201,I.P.C.,201,0,NA
379,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(2),SC/ST Act,3(2),1,NA
380,I.P.C(Police),309,I.P.C.,309,0,NA
387,"Protection of Children from Sexual Offences Act, 2012",14(2),POCSO Act,14(2),0,NA
388,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(1)E,"SC/ST Amendment Act, 2015",3(1)(e),0,NA
389,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,2VA,"SC/ST Amendment Act, 2015",3(2)(va),0,NA
390,Information Technology Act,66A,Information Technology Act,66 A,0,NA
391,Information Technology Act,66E,Information Technology Act,66 E,0,NA
392,Information Technology Act,67B,Information Technology Act,67 B,0,NA
394,I.P.C(Police),376DA,I.P.C.,376 DA,0,NA
395,I.P.C(Police),376a,I.P.C.,376 A,0,NA
396,"Protection of Children from Sexual Offences Act, 2012",6POCSO,POCSO Act,6,0,NA
397,I.P.C(Police),376ab,I.P.C.,376 AB,0,NA
400,I.P.C(Police),12 POCSO,POCSO Act,12,0,NA
402,I.P.C(Police),376(2)(1),I.P.C.,376(2)(1),0,NA
403,I.P.C(Police),455,I.P.C.,455,0,NA
404,I.P.C(Police),344,I.P.C.,344,0,NA
405,I.P.C(Police),376B,I.P.C.,376 B,0,NA
406,I.P.C(Police),120b,I.P.C.,120 B,0,NA
407,I.P.C(Police),376/506,I.P.C.,376/506,0,NA
408,I.P.C(Police),363a(1),I.P.C.,363 A (1),0,NA
409,I.P.C(Police),366(A),I.P.C.,366 A,0,NA
410,I.P.C(Police),366a,I.P.C.,366 A,0,NA
414,I.P.C(Police),354-D,I.P.C.,354 D,0,NA
415,I.P.C(Police),12 POCSO,POCSO Act,12,0,NA
416,I.P.C(Police),376C,I.P.C.,376 C,0,NA
417,I.P.C(Police),341/506,I.P.C.,341/506,0,NA
418,I.P.C(Police),376d,I.P.C.,376 D,0,NA
419,I.P.C(Police),42,I.P.C.,42,0,NA
420,I.P.C(Police),366-A,I.P.C.,366 A,0,NA
422,I.P.C(Police),354A(1)(i),I.P.C.,354 A(1)(i),0,NA
423,I.P.C(Police),D,I.P.C.,D,1,NA
424,I.P.C(Police),202,I.P.C.,202,0,NA
426,I.P.C(Police),427,I.P.C.,427,0,NA
432,I.P.C(Police),457,I.P.C.,457,0,NA
433,"Protection of Children from Sexual Offences Act, 2012",16,POCSO Act,16,0,NA
434,"Protection of Children from Sexual Offences Act, 2012",14,POCSO Act,14,0,NA
435,Information Technology Act,66e,Information Technology Act,66 E,0,NA
440,I.P.C(Police),3762g,I.P.C.,376(2)(g),0,NA
442,"Protection of Children from Sexual Offences Act, 2012",17,POCSO Act,17,0,NA
443,I.P.C(Police),354/452,I.P.C.,354/452,0,NA
444,I.P.C(Police),509,I.P.C.,509,0,NA
446,I.P.C(Police),323/354D,I.P.C.,323/354 D,0,NA
448,I.P.C(Police),5206,I.P.C.,506,0,NA
450,I.P.C(Police),420,I.P.C.,420,0,NA
451,I.P.C(Police),467,I.P.C.,467,0,NA
452,I.P.C(Police),468,I.P.C.,468,0,NA
453,I.P.C(Police),471,I.P.C.,471,0,NA
458,"Protection of Children from Sexual Offences Act, 2012",11,POCSO Act,11,0,NA
459,I.P.C(Police),376AB,I.P.C.,376 AB,0,NA
462,I.P.C(Police),364,I.P.C.,364,0,NA
465,I.P.C(Police),354A1,I.P.C.,354 A(1),0,NA
466,I.P.C(Police),376-D,I.P.C.,376 D,0,NA
468,I.P.C(Police),452354A,I.P.C.,452/354 A,0,NA
471,I.P.C(Police),354d,I.P.C.,354 D,0,NA
473,I.P.C(Police),376/346,I.P.C.,376/346,0,NA
476,"Protection of Children from Sexual Offences Act, 2012",7,POCSO Act,7,0,NA
477,I.P.C(Police),376(2)9n),I.P.C.,376(2)(n),0,NA
479,"Code of Criminal Procedure, 1973",120B,I.P.C.,120B,0,NA
480,"Code of Criminal Procedure, 1973",34,I.P.C.,34,0,NA
482,"Protection of Children from Sexual Offences Act, 2012",9,POCSO Act,9,0,NA
483,I.P.C(Police),(3),I.P.C.,-3,1,NA
485,Scheduled Castes and Scheduled Tribes Orders (Amendment)  Act,4,SC/ST Act,4,1,NA
486,I.P.C(Police),411,I.P.C.,411,0,NA
488,I.P.C(Police),376(c),I.P.C.,376(c),0,NA
489,"Protection of Children from Sexual Offences Act, 2012",9a,POCSO Act,9(a),0,NA
490,"Protection of Children from Sexual Offences Act, 2012",9m,POCSO Act,9(m),0,NA
496,I.P.C(Police),354(A)(1),I.P.C.,354 A(1),0,NA
497,I.P.C(Police),376 D,I.P.C.,376 D,0,NA
498,I.P.C(Police),366 A,I.P.C.,366 A,0,NA
500,I.P.C(Police),394,I.P.C.,394,0,NA
502,I.P.C(Police),3636,I.P.C.,3636,1,NA
503,I.P.C(Police),376D506,I.P.C.,376 D/506,0,NA
504,I.P.C(Police),376(2)(n),I.P.C.,376(2)(n),0,NA
509,I.P.C(Police),32,I.P.C.,32,0,NA
518,Indian Penal Code,305,I.P.C.,305,0,NA
521,I.P.C(Police),0.365,I.P.C.,365,0,NA
525,I.P.C(Police),354A/506,I.P.C.,354 A/506,0,NA
528,"Protection of Children from Sexual Offences Act, 2012",5,POCSO Act,5,0,NA
529,"Protection of Children from Sexual Offences Act, 2012",452,I.P.C.,452,0,NA
530,"Protection of Children from Sexual Offences Act, 2012",506,I.P.C.,506,0,NA
531,Indian Penal Code,312,I.P.C.,312,0,NA
532,"Protection of Children from Sexual Offences Act, 2012",15,POCSO Act,15,0,NA
533,I.P.C(Police),376IPC,I.P.C.,376,0,NA
534,Indian Penal Code,366A,I.P.C.,366 A,0,NA
537,"Protection of Children from Sexual Offences Act, 2012",AND354,I.P.C.,354,0,NA
538,"Protection of Children from Sexual Offences Act, 2012",452IPC,I.P.C.,452,0,NA
540,Indian Penal Code,504,I.P.C.,504,0,NA
542,Indian Penal Code,365,I.P.C.,365,0,NA
543,"Protection of Children from Sexual Offences Act, 2012",12,POCSO Act,12,0,NA
544,Scheduled Castes and the Scheduled Tribes (Prevention of  Atrocities) Act,3(XI),"SC/ST Act, 1989",3(1)(xi),0,NA
548,"Protection of Children from Sexual Offences Act, 2012",11(ii),POCSO Act,11(ii),0,NA
553,"Protection of Children from Sexual Offences Act, 2012",323,I.P.C.,323,0,NA
554,"Protection of Children from Sexual Offences Act, 2012",366A,I.P.C.,366A,0,NA
555,Indian Penal Code,306,I.P.C.,306,0,NA
