cino,offence_type,offfence_category
DLCT010034772016,APSA,I
DLCT010038692016,ASA,I
DLCT010040292016,SA,I
DLCT010040672016,APSA,I
DLCT010043272016,ASA,I
DLCT010043842016,SA,I
DLCT010046702016,APSA,I
DLCT010172372019,ASA,I
DLCT010172472018,PSA,I
DLCT010172562019,SA,I
DLCT010046862016,SH,I
DLCT010047982016,APSA,I
DLCT010052882016,SH,I
DLCT010052892016,APSA,I
DLCT010053002016,ASA,I
DLCT010053092016,Not Available,Offence not known
DLCT010053262016,Not Available,Offence not known
DLCT010056192016,Not Available,Offence not known
DLCT010056842016,APSA,I
DLCT010057232016,SA,I
DLCT010076432016,PSA,I
DLCT010078402016,APSA,I
DLCT010084362016,APSA,I
DLCT010085632016,SH,I
DLCT010085662016,APSA,I
DLCT010085672016,APSA,I
DLCT010085782016,APSA,I
DLCT010093152016,ASA,I
DLCT010095732016,APSA,I
DLCT010096552016,APSA,I
DLCT010097112016,PSA,I
DLCT010110812016,APSA,I
DLCT010120322016,SA,I
DLCT010134472016,SA,I
DLCT010135782016,SH,I
DLCT010138542016,PSA,I
DLCT010140212016,SA,I
DLCT010140812016,APSA,I
DLCT010142992016,ASA,I
DLCT010145812016,APSA,I
DLCT010146522016,APSA,I
DLCT010146632016,APSA,I
DLCT010151682016,ASA,I
DLCT010151772016,Abetment of APSA,II
DLCT010154542016,SH,I
DLCT010157902016,ASA,I
DLCT010173112016,SA,I
DLCT010173212018,APSA,I
DLCT010158762016,PSA,I
DLCT010162032016,APSA,I
DLCT010173232018,PSA,I
DLCT010173812019,SA,I
DLET010125902016,APSA,I
DLCT010173912018,APSA,I
DLCT010174152018,SH,I
DLCT010174482016,SA,I
DLCT010175172018,APSA,I
DLCT010175712016,ASA,I
DLCT010175872018,ASA,I
DLCT010175982018,APSA,I
DLCT010177212016,SA,I
DLCT010177362016,APSA,I
DLCT010178542017,SH,I
DLCT010178552017,ASA,I
DLCT010179782017,PSA,I
DLCT010179942016,APSA,I
DLCT010180712016,PSA,I
DLCT010181252016,PSA + CP,I
DLCT010182602017,SH,I
DLCT010184102016,PSA,I
DLCT010184252016,APSA,I
DLCT010185682017,ASA,I
DLCT010188622017,ASA,I
DLCT010189092017,APSA,I
DLCT010189202017,Abetment of APSA,II
DLCT010189852017,APSA,I
DLCT010192402017,APSA,I
DLET010000082014,APSA,I
DLET010000222018,APSA,I
DLET010002792018,APSA,I
DLET010000472020,ASA,I
DLET010000552018,APSA,I
DLET010000602015,ASA,I
DLET010000972014,PSA,I
DLET010001162016,SA,I
DLET010001172016,SH,I
DLET010001292018,PSA,I
DLET010001352015,PSA,I
DLET010001382015,SH,I
DLET010001722020,APSA,I
DLET010001732020,SA,I
DLET010001842019,SA,I
DLET010001922016,PSA,I
DLET010001972013,APSA,I
DLET010001982016,Failure to report,III
DLET010002102019,APSA,I
DLET010002352019,PSA,I
DLET010002562020,SH,I
DLET010002732014,APSA,I
DLET010002902018,SA,I
DLET010002982018,APSA,I
DLET010003122016,PSA,I
DLET010003392019,APSA,I
DLET010003532015,APSA,I
DLET010003582018,APSA,I
DLET010003902018,APSA,I
DLET010004032013,PSA,I
DLET010004042013,Not Available,Offence not known
DLET010004052013,SA,I
DLET010004182019,SA,I
DLET010004202015,APSA,I
DLET010004452015,APSA,I
DLET010004772018,PSA,I
DLET010004792020,APSA,I
DLET010004932014,SH,I
DLET010005122014,PSA,I
DLET010005192020,PSA,I
DLET010005452018,PSA,I
DLET010005502019,SA,I
DLET010005892019,SH,I
DLET010006042015,APSA,I
DLET010006282014,SA,I
DLET010006482015,PSA,I
DLET010006622020,SH,I
DLET010006722014,APSA,I
DLET010006732014,APSA,I
DLET010007152014,PSA,I
DLET010007402013,Abetment of CP,II
DLET010007452015,Not Available,Offence not known
DLET010007842019,PSA,I
DLET010007872015,SH,I
DLET010007952016,ASA,I
DLET010008042019,SH,I
DLET010008222018,SA,I
DLET010008772020,PSA,I
DLET010008782020,ASA,I
DLET010008792018,ASA,I
DLET010008842019,APSA,I
DLET010009512018,APSA,I
DLET010009972015,APSA,I
DLET010009982015,ASA,I
DLET010009992015,SA,I
DLET010010252017,SA,I
DLET010010262017,APSA,I
DLET010010332020,SA,I
DLET010010392019,PSA,I
DLET010010712018,CP,I
DLET010010882014,APSA,I
DLET010010932014,PSA,I
DLET010011042017,ASA,I
DLET010011072019,SA,I
DLET010011092013,APSA,I
DLET010011222018,ASA,I
DLET010011292020,APSA,I
DLET010011442019,SH,I
DLET010011452019,SA,I
DLET010011842020,SH,I
DLET010012062018,PSA,I
DLET010012582014,PSA,I
DLET010012662013,APSA,I
DLET010012712016,APSA,I
DLET010012872014,Abetment of CP,II
DLET010012872019,SA,I
DLET010012882019,ASA,I
DLNT010143912016,APSA,I
DLET010012892019,SH,I
DLET010012902019,SA,I
DLET010013022018,PSA,I
DLET010013272020,SA,I
DLET010013302015,SA,I
DLET010013612019,SH,I
DLET010013702016,SH,I
DLET010014082015,APSA,I
DLET010014242014,PSA,I
DLET010014572017,APSA,I
DLET010014672018,Not Available,Offence not known
DLET010014982017,APSA,I
DLET010014992017,SA,I
DLET010015052020,APSA,I
DLET010015062020,ASA,I
DLET010023802017,APSA,I
DLET010015462020,Attempt to APSA,II
DLET010015602020,APSA,I
DLET010015922020,ASA,I
DLET010016072018,ASA,I
DLET010016442013,APSA,I
DLET010016692016,PSA,I
DLET010016862015,PSA,I
DLET010017032014,APSA,I
DLET010017442015,PSA,I
DLET010017462018,APSA,I
DLET010017542014,PSA,I
DLET010018202018,APSA,I
DLET010018992017,SA,I
DLET010019082019,SH,I
DLET010019312015,PSA,I
DLET010019372020,ASA,I
DLET010019612014,APSA,I
DLET010019702018,PSA,I
DLET010019962015,APSA,I
DLET010020342015,SA,I
DLET010020652020,PSA,I
DLET010020722017,PSA,I
DLET010020952020,APSA,I
DLET010021182016,PSA,I
DLET010021372019,APSA,I
DLET010021622018,APSA,I
DLET010021912015,SH,I
DLET010021932017,SA,I
DLET010022692015,SA,I
DLET010022692018,APSA,I
DLET010022842016,SA,I
DLET010023222019,PSA,I
DLET010023292018,APSA,I
DLET010023352014,APSA,I
DLET010023412017,SH,I
DLET010023412018,Abetment of APSA,II
DLET010023432017,SA,I
DLET010023492018,PSA,I
DLET010023642019,APSA,I
DLET010024232018,APSA,I
DLET010024882017,APSA,I
DLET010025142017,PSA,I
DLET010025662019,APSA,I
DLET010026052014,SA,I
DLET010026762016,SA,I
DLET010027192019,ASA,I
DLET010027202019,APSA,I
DLET010027332015,SA,I
DLET010027812014,PSA,I
DLET010028582019,APSA,I
DLET010028862017,SA,I
DLET010028862018,APSA,I
DLET010029072019,ASA,I
DLET010029192019,APSA,I
DLET010029672019,ASA,I
DLET010029682019,APSA,I
DLET010029692019,SH,I
DLET010029822015,PSA,I
DLET010029832015,APSA,I
DLNW010056612016,SH,I
DLET010030042015,APSA,I
DLET010030082017,PSA,I
DLET010030202014,PSA,I
DLET010030322018,SH,I
DLET010030332018,SH,I
DLET010030562015,APSA,I
DLET010030962014,APSA,I
DLET010030992018,APSA,I
DLET010031572014,APSA,I
DLET010031822018,APSA,I
DLET010032022019,ASA,I
DLET010032522017,ASA,I
DLET010032542015,APSA,I
DLET010032792018,APSA,I
DLET010032952018,APSA,I
DLET010032962019,SA,I
DLET010033852018,APSA,I
DLET010033952014,PSA,I
DLET010034162014,APSA,I
DLET010034162015,SH,I
DLET010034232019,APSA,I
DLET010034442018,ASA,I
DLET010034562016,SA,I
DLET010034562018,APSA,I
DLET010034572018,SA,I
DLET010034582018,SA,I
DLET010034902015,SA,I
DLET010035272014,SA,I
DLET010035362019,PSA,I
DLET010035512018,ASA,I
DLET010035782019,APSA,I
DLET010035952014,PSA,I
DLET010035972014,APSA,I
DLET010036222018,APSA,I
DLET010036402016,SH,I
DLET010036682015,APSA,I
DLET010036882017,PSA,I
DLET010036982018,SH,I
DLET010036992018,SH,I
DLET010037392018,APSA,I
DLET010037512016,APSA,I
DLET010038172018,APSA,I
DLET010038362019,SA,I
DLET010038772015,SH,I
DLET010039252018,SH,I
DLET010039262018,SA,I
DLET010039292016,SA,I
DLET010039402018,APSA,I
DLET010039412018,ASA,I
DLET010039582018,APSA,I
DLET010039602016,PSA,I
DLET010039842015,PSA,I
DLET010039852019,APSA,I
DLET010040042018,Abetment of APSA,II
DLET010040372015,SA,I
DLET010040482014,SA,I
DLET010040492014,PSA,I
DLET010040602018,PSA,I
DLET010040742015,APSA,I
DLET010040982018,APSA,I
DLST010008952016,SH,I
DLET010041812019,SA,I
DLET010042212018,SA,I
DLET010042242017,SH,I
DLET010042342016,APSA,I
DLET010042352016,PSA,I
DLET010042462019,APSA,I
DLET010042522018,APSA,I
DLET010043502018,ASA,I
DLET010043552017,ASA,I
DLET010043662018,SA,I
DLET010043902017,APSA,I
DLET010044242018,APSA,I
DLET010044312018,APSA,I
DLET010044322018,ASA,I
DLET010044682019,APSA,I
DLET010044692019,SA,I
DLET010044722019,SA,I
DLET010044852018,APSA,I
DLET010045422018,ASA,I
DLET010045812018,ASA,I
DLET010045822018,SH,I
DLET010046092014,APSA,I
DLET010046312018,ASA,I
DLET010046322018,PSA,I
DLET010046342017,PSA,I
DLET010046342018,APSA,I
DLET010046462018,SH,I
DLET010046632018,APSA,I
DLET010046762019,SA,I
DLET010046852019,APSA,I
DLET010046862019,APSA,I
DLET010047222015,SA,I
DLET010047252019,APSA,I
DLET010047842018,SH,I
DLET010048002017,APSA,I
DLET010048162019,APSA,I
DLET010048632015,APSA,I
DLET010048652019,APSA,I
DLET010048662019,APSA,I
DLET010049102019,ASA,I
DLET010049232018,APSA,I
DLET010049232019,SA,I
DLET010049632019,ASA,I
DLET010049702019,APSA,I
DLET010049812015,PSA,I
DLET010049862015,APSA,I
DLET010050302015,PSA,I
DLET010050412019,SA,I
DLET010050722018,SH,I
DLET010050782018,SH,I
DLET010050852017,APSA,I
DLET010051542016,APSA,I
DLET010051682018,SH,I
DLET010051692018,APSA,I
DLET010051712019,Abetment of APSA,II
DLET010052212015,SA,I
DLET010052242018,SA,I
DLET010052302019,APSA,I
DLET010052382016,PSA,I
DLET010052422018,SA,I
DLET010052832018,ASA,I
DLET010053542017,APSA,I
DLET010053722015,PSA,I
DLET010053732015,APSA,I
DLET010053862019,APSA,I
DLET010053872017,APSA,I
DLET010053952015,APSA,I
DLET010053982018,ASA,I
DLET010053992018,APSA,I
DLET010054172019,APSA,I
DLET010054182019,APSA,I
DLET010054362018,SH,I
DLET010054622018,SH,I
DLET010054632018,SH,I
DLET010054712019,Abetment of APSA,II
DLET010055222019,ASA,I
DLET010055642018,SA,I
DLET010055802018,Not Available,Offence not known
DLET010055902019,Not Available,Offence not known
DLET010061802015,PSA,I
DLET010055992016,SA,I
DLET010056992018,SA,I
DLET010057102016,ASA,I
DLET010057102017,SH,I
DLET010057612015,APSA,I
DLET010058232018,ASA,I
DLET010059072019,SA,I
DLET010059252017,SH,I
DLET010059332019,SA,I
DLET010059352015,APSA,I
DLET010059842018,APSA,I
DLET010059952018,APSA,I
DLET010060412018,APSA,I
DLET010061102018,Attempt to SA,II
DLET010061152015,APSA,I
DLET010061162015,SA,I
DLET010061292017,SA,I
DLET010061532017,SH,I
DLET010061542018,SA,I
DLET010061812017,PSA,I
DLET010062362017,APSA,I
DLET010062412018,ASA,I
DLET010062702018,SH,I
DLET010063062018,APSA,I
DLET010063762017,PSA,I
DLET010063992016,APSA,I
DLET010064062015,APSA,I
DLET010064082015,ASA,I
DLET010064092019,APSA,I
DLET010064232019,ASA,I
DLET010064612018,APSA,I
DLET010064702017,SA,I
DLET010064752018,APSA,I
DLET010064762018,SH,I
DLET010064822018,ASA,I
DLET010064942016,APSA,I
DLET010064952017,SA,I
DLET010065042018,SA,I
DLET010065232015,PSA,I
DLET010065232019,APSA,I
DLET010065412016,PSA,I
DLET010065822016,SH,I
DLET010065932019,APSA,I
DLET010065942017,APSA,I
DLET010065942019,SH,I
DLET010065972017,SH,I
DLET010065982017,SA,I
DLET010066002017,SA,I
DLET010066052017,ASA,I
DLET010066062017,SH,I
DLET010066192018,PSA,I
DLET010066202015,APSA,I
DLET010066472019,SH,I
DLET010066532015,APSA,I
DLET010066672018,ASA,I
DLET010066732019,APSA,I
DLET010066992019,SH,I
DLET010067012019,PSA,I
DLET010067072018,PSA,I
DLET010067182016,SH,I
DLWT010019922016,ASA,I
DLET010067202019,SH,I
DLET010067772019,APSA,I
DLET010067782019,ASA,I
DLET010067792019,SH,I
DLET010067802019,SH,I
DLET010067922018,Abetment of CP,II
DLET010067932018,APSA,I
DLET010068112015,SH,I
DLET010068332018,SA,I
DLET010068682017,APSA,I
DLET010068722017,PSA,I
DLET010068882016,SA,I
DLET010068942019,APSA,I
DLET010069052018,Abetment of APSA,II
DLET010069212016,APSA,I
DLET010069222017,SH,I
DLET010069322019,ASA,I
DLET010070092018,ASA,I
DLET010070122015,APSA,I
DLET010070462019,ASA,I
DLET010070472019,APSA,I
DLET010071212019,SH,I
DLET010071232019,SA,I
DLET010071242019,SA,I
DLET010071482017,ASA,I
DLET010071572017,SH,I
DLET010071892018,SA,I
DLET010072022015,PSA,I
DLET010072042019,SH,I
DLET010072072019,SH,I
DLET010072162017,ASA,I
DLET010072172017,APSA,I
DLET010072202017,SA,I
DLET010072312015,APSA,I
DLET010072322015,SA,I
DLET010072702018,ASA,I
DLET010072822018,SH,I
DLET010072832018,APSA,I
DLET010072852018,APSA,I
DLET010072862018,PSA,I
DLET010073002015,APSA,I
DLET010073012015,APSA,I
DLET010073322018,ASA,I
DLET010073472018,Abetment of APSA,II
DLET010073482018,APSA,I
DLET010073772018,ASA,I
DLET010074512016,SH,I
DLET010074862018,SA,I
DLET010074882018,SA,I
DLET010075272017,ASA,I
DLET010075332018,SH,I
DLET010075392018,APSA,I
DLET010075472017,APSA,I
DLET010075502017,SH,I
DLET010075512017,APSA,I
DLET010075652019,PSA,I
DLET010076042019,ASA,I
DLET010076052019,SA,I
DLET010076242016,APSA,I
DLET010076252016,SA,I
DLET010077362019,ASA,I
DLET010077852016,PSA,I
DLET010077862016,PSA,I
DLET010078302019,ASA,I
DLET010078572017,APSA,I
DLET010078582017,SA,I
DLET010078632017,ASA,I
DLET010078942018,ASA,I
DLET010078952018,APSA,I
DLET010079262019,SH,I
DLET010079472016,SH,I
DLET010079892016,APSA,I
DLET010080092018,APSA,I
DLET010080192016,PSA,I
DLET010080532018,ASA,I
DLET010080542018,SH,I
DLET010080942018,ASA,I
DLET010080992016,SH,I
DLET010081192018,APSA,I
DLET010082422019,ASA,I
DLET010082462019,SH,I
DLET010082492018,SA,I
DLET010082712019,PSA,I
DLET010082722017,PSA,I
DLET010082722019,SH,I
DLET010082732017,APSA,I
DLET010082972016,APSA,I
DLET010083472018,SA,I
DLET010083552019,PSA,I
DLET010083882016,ASA,I
DLET010083942019,ASA,I
DLET010084022017,SA,I
DLET010084522018,SA,I
DLET010084552019,ASA,I
DLET010084562019,APSA,I
DLET010084742018,APSA,I
DLET010084752018,APSA,I
DLET010084812016,APSA,I
DLET010084822016,SH,I
DLET010085322017,APSA,I
DLET010085462019,PSA,I
DLET010085472019,PSA,I
DLET010086682017,SA,I
DLET010087012019,APSA,I
DLET010087562017,ASA,I
DLET010087572017,SA,I
DLET010087692019,APSA,I
DLET010088222018,SH,I
DLET010088392019,ASA,I
DLET010088532017,SH,I
DLET010088542017,SH,I
DLET010088552017,SH,I
DLET010088762018,PSA,I
DLET010089032018,SH,I
DLET010090112018,SA,I
DLET010090122018,PSA,I
DLET010090412019,APSA,I
DLET010090752019,ASA,I
DLET010091082019,APSA,I
DLET010091462019,SH,I
DLET010119412016,APSA,I
DLET010091472019,APSA,I
DLET010091862018,Not Available,Offence not known
DLET010091972019,SA,I
DLET010092002017,APSA,I
DLET010092402018,SA,I
DLET010092782018,APSA,I
DLET010123482016,SA,I
DLET010092812018,Abetment of CP,II
DLET010093072019,PSA,I
DLET010093152019,PSA,I
DLET010093262018,SH,I
DLET010093382019,SA,I
DLET010093412018,APSA,I
DLET010093732018,SA,I
DLET010093742018,SH,I
DLET010094152017,APSA,I
DLET010094162017,PSA,I
DLET010094432018,ASA,I
DLET010094472019,Abetment of APSA,II
DLET010094482019,SA,I
DLET010095142016,APSA,I
DLET010095442016,APSA,I
DLET010095462016,APSA,I
DLET010095612019,ASA,I
DLET010095752019,ASA,I
DLET010095762019,SA,I
DLET010096642019,ASA,I
DLET010096652019,PSA,I
DLET010097242019,PSA,I
DLET010097492018,ASA,I
DLET010097502018,ASA,I
DLET010097852018,PSA,I
DLET010100062017,ASA,I
DLET010100872017,SH,I
DLET010100892017,SH,I
DLET010100902017,SA,I
DLET010101842017,APSA,I
DLET010101852017,PSA,I
DLET010102532019,ASA,I
DLET010102772016,PSA,I
DLET010102782016,SA,I
DLET010102942016,PSA,I
DLET010103832016,APSA,I
DLET010104012019,SH,I
DLET010105082019,ASA,I
DLET010106192019,SA,I
DLET010106202019,SA,I
DLET010106802019,ASA,I
DLET010107142019,APSA,I
DLET010109632017,PSA,I
DLET010109672017,APSA,I
DLET010109732017,ASA,I
DLET010110942016,APSA,I
DLET010112752016,APSA,I
DLET010112802017,PSA,I
DLET010112832017,SA,I
DLET010112852017,PSA,I
DLET010112862017,APSA,I
DLET010113672017,Abetment of CP,II
DLET010116332017,APSA,I
DLET010116352016,PSA,I
DLET010116362016,PSA,I
DLET010118552017,ASA,I
DLET010118582017,SH,I
DLET010118742017,APSA,I
DLET010118762017,PSA,I
DLET010120102017,APSA,I
DLET010120112017,ASA,I
DLET010120992017,SA,I
DLET010121252016,APSA,I
DLET010121572017,SA,I
DLET010121852017,SA,I
DLET010122242017,SH,I
DLET010122432017,APSA,I
DLET010124742017,APSA,I
DLET010125602016,APSA,I
DLET010128702016,SH,I
DLET010128702017,APSA,I
DLET010128712017,APSA,I
DLET010128722017,PSA,I
DLET010128752016,PSA,I
DLET010129462017,APSA,I
DLET010130132016,APSA,I
DLET010130402017,PSA,I
DLET010133472017,APSA,I
DLET010133932017,PSA,I
DLET010134422017,APSA,I
DLET010134622017,SH,I
DLET010134632017,ASA,I
DLET010134652017,SH,I
DLET010139662016,SA,I
DLET010139682016,SA,I
DLET010140012016,ASA,I
DLET010141862016,PSA,I
DLET010142882016,PSA,I
DLET010143092016,APSA,I
DLET010144242016,ASA,I
DLET010144252016,SH,I
DLND010000942017,APSA,I
DLND010001692019,SH,I
DLND010002742019,SH,I
DLND010004202018,APSA,I
DLND010004272019,SH,I
DLND010004322020,APSA,I
DLND010004382013,PSA,I
DLND010004492020,APSA,I
DLND010005122020,APSA,I
DLND010005152020,SA,I
DLND010005972017,SH,I
DLND010009472019,SA,I
DLND010006152019,SA,I
DLND010006222019,ASA,I
DLND010006872019,APSA,I
DLND010006912017,APSA,I
DLND010006962019,SA,I
DLND010007572018,APSA,I
DLND010008082017,SH,I
DLND010008982018,APSA,I
DLND010062802017,SH,I
DLND010009612020,PSA,I
DLND010009872020,SA,I
DLND010009992019,PSA,I
DLND010011382020,APSA,I
DLND010011672018,PSA,I
DLND010012462018,APSA,I
DLND010012932020,SH,I
DLND010015532019,SH,I
DLND010013052020,SA,I
DLND010013592020,PSA,I
DLND010014052020,ASA,I
DLND010014102020,ASA,I
DLND010014302017,SH,I
DLND010014362018,APSA,I
DLND010014962020,SH,I
DLND010014972020,SA,I
DLND010015342018,ASA,I
DLND010015492020,ASA,I
DLND010016192020,APSA,I
DLND010016212020,APSA,I
DLND010016522018,ASA,I
DLND010016682020,PSA,I
DLND010016962018,ASA,I
DLND010017182019,APSA,I
DLND010017862019,PSA,I
DLND010017942017,Not Available,Offence not known
DLND010018452020,APSA,I
DLND010018822018,SA,I
DLND010020432019,SH,I
DLND010020492019,SA,I
DLND010020502019,SA,I
DLND010020992018,SA,I
DLND010021002018,SA,I
DLND010022192019,APSA,I
DLND010022952017,APSA,I
DLND010023112016,SH,I
DLND010023122017,SA,I
DLND010023402019,APSA,I
DLND010025392019,PSA,I
DLND010026142017,SA,I
DLND010027202017,APSA,I
DLND010027382019,SH,I
DLND010027392019,APSA,I
DLND010027452019,PSA,I
DLND010027502018,SA,I
DLND010027862019,SA,I
DLND010028022019,SA,I
DLND010028292019,SA,I
DLND010029562017,PSA,I
DLND010031042018,APSA,I
DLND010031092018,APSA,I
DLND010032802017,SH,I
DLND010033742018,APSA,I
DLND010034352019,SH,I
DLND010034832016,APSA,I
DLND010036372018,APSA,I
DLND010037202018,APSA,I
DLND010037262016,APSA,I
DLND010037272016,SA,I
DLND010039222017,SH,I
DLND010040182016,Not Available,Offence not known
DLND010042492019,APSA,I
DLND010045092016,APSA,I
HRGR010134382016,APSA,I
HRGR010139772016,PSA,I
DLND010042662019,APSA,I
DLND010044382019,APSA,I
DLND010044462019,APSA,I
DLND010044812019,APSA,I
DLND010045102016,SA,I
DLND010045842016,ASA,I
DLND010045872018,APSA,I
DLND010046282018,SA,I
DLND010046962019,ASA,I
DLND010047612017,SH,I
DLND010047752017,SA,I
DLND010047952018,SA,I
DLND010048032018,SA,I
DLND010048312018,APSA,I
DLND010048562018,APSA,I
DLND010048622018,APSA,I
DLND010049582016,APSA,I
DLND010050052018,PSA,I
DLND010050092018,ASA,I
DLND010051412018,APSA,I
DLND010051632018,ASA,I
DLND010052052018,ASA,I
DLND010052402017,SA,I
DLND010052712017,APSA,I
DLND010053572019,ASA,I
DLND010053792018,SA + CP,I
DLND010053962017,PSA,I
DLND010056152019,APSA,I
DLND010057612018,SA,I
DLND010057642017,SA,I
DLND010057702017,ASA,I
DLND010059592019,APSA,I
DLND010060132018,PSA,I
DLND010060142018,PSA,I
DLND010060412016,SH,I
DLND010061042018,SH,I
DLND010061112018,APSA,I
DLND010061182019,PSA,I
DLND010061312019,SA,I
DLND010061852019,SH,I
DLND010062242018,APSA,I
DLND010062252018,APSA,I
DLND010062262018,ASA,I
DLND010062672018,APSA,I
DLND010062932017,SA,I
DLND010062942017,SA,I
DLND010062972018,ASA,I
DLND010063042017,APSA,I
DLND010063572018,SA,I
DLND010063822017,SA,I
DLND010065442018,APSA,I
DLND010065502016,SH,I
DLND010065562018,APSA,I
DLND010065602016,PSA,I
DLND010065822019,SH,I
DLND010066172017,SH,I
DLND010066782018,PSA,I
DLND010066862019,APSA,I
DLND010067392018,SH,I
DLND010067812019,ASA,I
DLND010068782016,APSA,I
DLND010068822016,SH,I
DLND010069032016,PSA,I
DLND010069332019,ASA,I
DLND010069492018,SA,I
DLND010069532018,SH,I
DLND010069782019,APSA,I
DLND010070712018,APSA,I
DLND010070822017,PSA,I
DLND010071372018,APSA,I
DLND010072142016,APSA,I
DLND010073032016,SA,I
DLND010073052016,SA,I
DLND010074672016,APSA,I
DLND010075102017,SA,I
DLND010075412018,APSA,I
DLND010077742017,SH,I
DLND010077882016,SH,I
DLND010079282017,APSA,I
DLND010079672019,PSA,I
DLND010080322019,SH,I
DLND010080712016,SA,I
DLND010080712019,SA,I
DLND010080782018,Abetment of APSA,II
DLND010081262019,SA,I
DLND010081452016,PSA,I
DLND010081812017,ASA,I
DLND010082022016,APSA,I
DLND010082032016,SA,I
DLND010082402017,SA,I
DLND010082772018,APSA,I
DLND010082822019,APSA,I
DLND010082862017,APSA,I
DLND010082872017,PSA,I
DLND010083232017,APSA,I
DLND010084322016,SH,I
DLND010084382016,SH,I
DLND010084412016,SA,I
DLND010084542016,APSA,I
DLND010084732017,SA,I
DLND010084892016,SA,I
DLND010085242017,ASA,I
DLND010085392018,SH,I
DLND010085402019,APSA,I
DLND010085642017,SA,I
DLND010085812017,APSA,I
DLND010086412016,SH,I
DLND010086522016,ASA,I
DLND010086652018,SA,I
DLND010086662018,APSA,I
DLND010086692019,SH,I
DLND010086702017,PSA,I
DLND010086842017,SA,I
DLND010087752016,SA,I
DLND010088022018,APSA,I
DLND010088452017,PSA,I
DLND010089432019,APSA,I
DLND010089442019,APSA,I
DLND010089962018,SH,I
DLND010090002018,APSA,I
DLND010090142016,APSA,I
DLND010090422016,SH,I
DLND010091032019,APSA,I
DLND010091382016,APSA,I
DLND010091382019,APSA,I
DLND010091402017,SA,I
DLND010091612017,APSA,I
DLND010092182016,PSA,I
DLND010092872019,ASA,I
DLND010094092017,APSA,I
DLND010094172017,ASA,I
DLND010094212016,PSA,I
DLND010095272016,SH,I
DLND010095282019,ASA,I
DLND010095402016,SA,I
DLND010095942016,SA,I
DLND010097432019,PSA,I
DLND010097922017,APSA,I
DLND010099772016,SH,I
DLND010100222017,APSA,I
DLND010100272017,ASA,I
DLND010101182016,PSA,I
DLND010102132018,APSA,I
DLND010102552017,SH,I
DLND010102562017,SH,I
DLND010103002016,SA,I
DLND010103432017,SH,I
DLND010103662019,PSA,I
DLND010103862018,APSA,I
DLND010104252019,APSA,I
DLND010104262019,APSA,I
DLND010104322019,ASA,I
DLND010104642016,SA,I
DLND010104992017,SA,I
DLND010107752018,APSA,I
DLND010108992018,APSA,I
DLND010109012018,ASA,I
DLND010109052018,APSA,I
DLND010109252016,SH,I
DLND010109352018,APSA,I
DLND010109582018,SH,I
DLND010109902018,APSA,I
DLND010109972019,SH,I
DLND010110012016,PSA,I
DLND010110492017,SH,I
DLND010111332018,PSA,I
DLND010111432018,SA,I
DLND010113042016,SA,I
DLND010113712016,SA,I
DLND010113902016,SA,I
DLND010113982017,APSA,I
DLND010114612017,SH,I
DLND010114792018,SH,I
DLNE010000802018,APSA,I
DLND010115272018,APSA,I
DLND010115502016,PSA,I
DLND010115612018,APSA,I
DLND010115712019,APSA,I
DLND010116692016,PSA,I
DLND010117462017,APSA,I
DLND010117772018,APSA,I
DLND010117992017,APSA,I
DLND010118722018,APSA,I
DLND010118822018,SH,I
DLND010119082019,PSA,I
DLND010119162018,APSA,I
DLND010119312017,APSA,I
DLND010119322017,APSA,I
DLND010119592016,SA,I
DLND010120082016,ASA,I
DLND010120082017,APSA,I
DLND010120182019,SH,I
DLND010122722018,SH,I
DLND010122942019,APSA,I
DLND010122972019,CP,I
DLND010123222017,SH,I
DLND010123232017,PSA,I
DLND010125032018,ASA,I
DLND010125232017,SA,I
DLND010125592017,APSA,I
DLND010126292018,APSA,I
DLND010126642018,PSA,I
DLND010127662018,APSA,I
DLND010129952019,APSA,I
DLND010130402017,APSA,I
DLND010131312018,APSA,I
DLND010132602018,SA,I
DLND010133752017,SH,I
DLND010134282019,APSA,I
DLND010134392016,APSA,I
DLND010134482016,SH,I
DLND010134492016,SH,I
DLND010134512016,SH,I
DLND010134982018,SA,I
DLND010135602018,ASA,I
DLND010136612017,ASA,I
DLND010136882017,APSA,I
DLND010137902019,APSA,I
DLND010138182017,PSA,I
DLND010138492017,SA,I
DLND010138572016,ASA,I
DLND010139302016,SH,I
DLND010139872017,APSA,I
DLND010139882017,APSA,I
DLND010139902017,ASA,I
DLND010140052016,APSA,I
DLND010140292018,APSA,I
DLND010140682017,SH,I
DLND010142412018,SH,I
DLND010143632017,APSA,I
DLND010143762019,APSA,I
DLND010147252019,APSA,I
DLND010147262018,SA,I
DLND010147652017,SA,I
DLND010147742017,ASA,I
DLND010148132018,APSA,I
DLND010148712018,APSA,I
DLND010149772018,PSA,I
DLND010149782016,ASA,I
DLND010149882017,APSA,I
DLND010151222018,PSA,I
DLND010152032019,APSA,I
DLND010153442019,PSA,I
DLND010153552018,APSA + Storage of CP,I
DLND010154142017,ASA,I
DLND010154722019,SH,I
DLND010154752019,SH,I
DLND010154822018,PSA,I
DLND010155922017,PSA + CP,I
DLND010157032016,APSA,I
DLND010157042016,ASA,I
DLND010157962016,SA,I
DLND010158352017,APSA + Storage of CP,I
DLND010158862019,APSA,I
DLND010158982016,SH,I
DLND010159032016,APSA,I
DLND010159052016,SH,I
